raceId,driverId,year,constructorId,grid,position,win,pole,pit_stop_count,pit_stop_binary
853,808,2011,4,7,22,0,0,0,0
853,811,2011,4,10,9,0,0,3,1
853,813,2011,3,14,11,0,0,2,0
853,814,2011,10,11,8,0,0,2,0
853,815,2011,15,15,17,0,0,0,0
853,816,2011,166,22,21,0,0,0,0
853,817,2011,164,23,16,0,0,2,0
854,1,2011,1,4,5,0,0,5,1
854,3,2011,131,7,7,0,0,3,1
854,4,2011,6,5,4,0,0,3,1
854,5,2011,205,19,16,0,0,3,1
854,10,2011,166,21,24,0,0,0,0
854,13,2011,6,6,9,0,0,4,1
854,15,2011,205,20,22,0,0,3,1
854,16,2011,10,9,8,0,0,2,0
854,17,2011,9,2,3,0,0,3,1
854,18,2011,1,3,2,0,0,3,1
854,20,2011,9,1,1,1,1,3,1
854,22,2011,3,12,13,0,0,2,0
854,24,2011,164,24,20,0,0,4,1
854,30,2011,131,8,23,0,0,2,0
854,67,2011,5,14,12,0,0,3,1
854,153,2011,5,16,21,0,0,3,1
854,155,2011,15,17,14,0,0,4,1
854,808,2011,4,18,17,0,0,3,1
854,811,2011,4,15,15,0,0,4,1
854,813,2011,3,13,11,0,0,3,1
854,814,2011,10,10,6,0,0,2,0
854,815,2011,15,11,10,0,0,2,0
854,816,2011,166,22,18,0,0,2,0
854,817,2011,164,23,19,0,0,3,1
855,1,2011,1,3,5,0,0,3,1
855,3,2011,131,23,10,0,0,3,1
855,4,2011,6,5,2,0,0,3,1
855,5,2011,205,18,18,0,0,3,1
855,10,2011,166,21,20,0,0,3,1
855,13,2011,6,4,7,0,0,3,1
855,15,2011,205,19,19,0,0,3,1
855,16,2011,10,11,11,0,0,3,1
855,17,2011,9,6,4,0,0,3,1
855,18,2011,1,2,1,1,0,3,1
855,20,2011,9,1,3,0,1,3,1
855,22,2011,3,13,17,0,0,3,1
855,24,2011,164,24,23,0,0,3,1
855,30,2011,131,7,6,0,0,3,1
855,67,2011,5,15,24,0,0,1,0
855,153,2011,5,16,15,0,0,2,0
855,155,2011,15,10,13,0,0,2,0
855,808,2011,4,9,9,0,0,2,0
855,811,2011,4,8,16,0,0,2,0
855,813,2011,3,14,14,0,0,3,1
855,814,2011,10,12,12,0,0,3,1
855,815,2011,15,17,8,0,0,2,0
855,816,2011,166,20,21,0,0,3,1
855,817,2011,164,22,22,0,0,3,1
856,1,2011,1,1,2,0,1,2,0
856,3,2011,131,7,8,0,0,2,0
856,4,2011,6,6,5,0,0,2,0
856,5,2011,205,19,14,0,0,2,0
856,10,2011,166,21,18,0,0,2,0
856,13,2011,6,5,6,0,0,2,0
856,15,2011,205,20,17,0,0,2,0
856,16,2011,10,10,11,0,0,2,0
856,17,2011,9,4,3,0,0,2,0
856,18,2011,1,3,4,0,0,2,0
856,20,2011,9,2,1,1,0,2,0
856,22,2011,3,18,12,0,0,2,0
856,24,2011,164,23,21,0,0,3,1
856,30,2011,131,12,24,0,0,1,0
856,67,2011,5,13,9,0,0,2,0
856,153,2011,5,11,7,0,0,2,0
856,155,2011,15,14,15,0,0,3,1
856,808,2011,4,8,23,0,0,1,0
856,811,2011,4,15,13,0,0,2,0
856,813,2011,3,16,22,0,0,3,1
856,814,2011,10,9,10,0,0,2,0
856,815,2011,15,17,16,0,0,3,1
856,816,2011,166,22,20,0,0,2,0
856,817,2011,164,24,19,0,0,2,0
857,1,2011,1,2,7,0,0,3,1
857,3,2011,131,7,6,0,0,2,0
857,4,2011,6,4,3,0,0,2,0
857,5,2011,205,19,14,0,0,2,0
857,10,2011,166,24,23,0,0,1,0
857,13,2011,6,6,20,0,0,3,1
857,15,2011,205,20,19,0,0,3,1
857,16,2011,10,8,9,0,0,2,0
857,17,2011,9,3,4,0,0,2,0
857,18,2011,1,5,2,0,0,2,0
857,20,2011,9,1,1,1,1,2,0
857,22,2011,3,16,15,0,0,2,0
857,30,2011,131,12,5,0,0,2,0
