raceId,driverId,grid,position,constructorId
59,26,18,13,5
59,11,19,22,8
59,36,20,16,8
59,13,21,9,6
59,30,22,5,6
60,4,1,1,4
60,8,2,3,1
60,30,3,2,6
60,13,4,5,6
60,21,5,4,4
60,22,6,10,11
60,23,7,21,7
60,31,8,6,1
60,2,9,7,2
60,35,10,8,2
60,14,11,12,9
60,3,12,9,3
60,24,13,13,5
60,32,14,14,9
60,26,15,20,5
60,33,16,16,13
60,17,17,22,3
60,27,18,15,13
60,18,19,19,11
60,11,20,17,8
60,36,21,18,8
60,15,22,11,7
61,4,1,1,4
61,21,2,4,4
61,8,3,3,1
61,15,4,6,7
61,30,5,2,6
61,3,6,21,3
61,31,7,18,1
61,18,8,9,11
61,22,9,19,11
61,13,10,5,6
61,35,11,16,2
61,32,12,11,9
61,2,13,7,2
61,23,14,17,7
61,24,15,13,5
61,14,16,8,9
61,17,17,12,3
61,26,18,10,5
61,33,19,14,13
61,27,20,22,13
61,11,21,15,8
61,36,22,20,8
62,30,1,1,6
62,13,2,2,6
62,21,3,3,4
62,22,4,6,11
62,4,5,5,4
62,35,6,12,2
62,18,7,15,11
62,23,8,10,7
62,8,9,16,1
62,2,10,17,2
62,31,11,18,1
62,17,12,19,3
62,26,13,20,5
62,27,14,11,13
62,33,15,13,13
62,32,16,21,9
62,14,17,7,9
62,11,18,14,8
62,3,19,9,3
62,15,20,4,7
62,24,21,8,5
62,36,22,22,8
63,30,1,1,6
63,13,2,3,6
63,4,3,2,4
63,15,4,19,7
63,23,5,4,7
63,8,6,5,1
63,21,7,6,4
63,37,8,7,1
63,3,9,14,3
63,14,10,9,9
63,17,11,18,3
63,2,12,8,2
63,32,13,12,9
63,22,14,20,11
63,26,15,10,5
63,27,16,15,13
63,24,17,13,5
63,35,18,11,2
63,18,19,17,11
63,33,20,21,13
63,36,21,16,8
63,11,22,22,8
64,8,1,3,1
64,30,2,1,6
64,13,3,2,6
64,18,4,4,11
64,21,5,6,4
64,22,6,16,11
64,4,7,5,4
64,23,8,9,7
64,37,9,18,1
64,14,10,11,9
64,17,11,13,3
64,32,12,8,9
64,15,13,7,7
64,35,14,15,2
64,3,15,20,3
64,2,16,17,2
64,24,17,10,5
64,27,18,21,13
64,11,19,14,8
64,33,20,22,13
64,29,21,19,8
64,26,22,12,5
65,8,1,15,1
65,13,2,7,6
65,22,3,4,11
65,18,4,1,11
65,37,5,2,1
65,17,6,20,3
65,23,7,6,7
65,21,8,18,4
65,15,9,12,7
65,9,10,22,2
65,2,11,3,2
65,30,12,8,6
65,14,13,5,9
65,32,14,19,9
65,4,15,14,4
65,33,16,9,13
65,24,17,16,5
65,3,18,17,3
65,26,19,11,5
65,11,20,13,8
65,27,21,10,13
65,29,22,21,8
66,13,1,1,6
66,30,2,3,6
66,4,3,2,4
66,21,4,6,4
66,23,5,7,7
66,2,6,14,2
66,18,7,4,11
66,8,8,21,1
66,9,9,12,2
66,17,10,10,3
66,32,11,11,9
66,37,12,5,1
66,15,13,9,7
66,22,14,8,11
66,3,15,18,3
66,27,16,16,13
66,14,17,15,9
66,26,18,13,5
66,24,19,20,5
66,33,20,22,13
66,29,21,19,8
66,11,22,17,8
67,8,1,2,1
67,30,2,1,6
67,2,3,8,2
67,13,4,9,6
67,18,5,5,11
67,9,6,3,2
67,37,7,20,1
67,22,8,6,11
67,21,9,4,4
67,4,10,19,4
67,15,11,7,7
67,3,12,22,3
67,23,13,15,7
67,14,14,12,9
67,26,15,13,5
67,32,16,11,9
67,24,17,14,5
67,27,18,17,14
67,17,19,10,3
67,33,20,18,14
67,11,21,16,8
67,29,22,21,8
68,4,1,2,4
68,21,2,3,4
68,22,3,6,11
68,18,4,4,11
68,8,5,21,1
68,30,6,1,6
68,37,7,5,1
68,2,8,7,2
68,9,9,13,2
68,38,10,12,9
68,26,11,14,5
68,14,12,9,9
68,24,13,10,5
68,17,14,8,3
68,3,15,11,3
68,23,16,17,7
68,15,17,19,7
68,33,18,20,14
68,29,19,16,8
68,13,20,18,6
68,11,21,22,8
68,27,22,15,14
69,13,1,2,6
69,30,2,20,6
69,23,3,7,7
69,15,4,6,7
69,4,5,1,4
69,21,6,3,4
69,18,7,4,11
69,22,8,12,11
69,2,9,8,2
69,3,10,10,3
69,8,11,5,1
69,9,12,9,2
69,37,13,11,1
69,17,14,19,3
69,24,15,14,5
69,27,16,22,14
69,14,17,21,9
69,38,18,13,9
69,26,19,18,5
69,11,20,15,8
69,33,21,16,14
69,29,22,17,8
70,13,1,1,6
70,8,2,5,1
70,15,3,19,7
70,4,4,2,4
70,22,5,7,11
70,21,6,6,4
70,23,7,20,7
70,2,8,17,2
70,9,9,9,2
70,30,10,4,6
70,17,11,21,3
70,37,12,8,1
70,3,13,22,3
70,18,14,3,11
70,38,15,12,9
70,24,16,13,5
70,26,17,11,5
70,27,18,14,14
70,14,19,18,9
70,11,20,10,8
